Run ID,District Number,Total Costs,Run Time
243,1,43423,0.07014012336730957
244,1,42406,0.05181097984313965
245,1,40552,0.020617008209228516
246,1,47257,0.059027910232543945
247,1,46204,0.053499698638916016
248,1,47662,0.0493779182434082
249,1,38626,0.06500816345214844
250,1,43243,0.07691407203674316
251,1,44413,0.049508094787597656
252,1,38500,0.07697701454162598
253,1,46573,0.07298779487609863
254,1,45214,0.06996583938598633
255,1,41290,0.05185818672180176
256,1,44584,0.06989407539367676
257,1,47356,0.0454409122467041
258,1,48184,0.04505014419555664
259,1,44881,0.04037308692932129
260,1,43351,0.034657955169677734
261,1,42811,0.056652069091796875
262,1,40093,0.08301186561584473
263,1,47545,0.03947615623474121
264,1,46843,0.07500600814819336
265,1,38113,0.04640507698059082
266,1,37483,0.039465904235839844
267,1,40066,0.07938098907470703
268,1,42703,0.04738593101501465
269,1,43927,0.020669937133789062
270,1,45970,0.027506351470947266
271,1,39670,0.07940125465393066
272,1,46015,0.06979608535766602
273,1,40597,0.07189679145812988
274,1,43423,0.03473377227783203
275,1,44296,0.07773089408874512
276,1,45403,0.05505633354187012
277,1,41047,0.03359484672546387
278,1,44152,0.020784854888916016
279,1,42217,0.06555008888244629
280,1,41812,0.04531288146972656
281,1,43954,0.03410196304321289
282,1,44539,0.08458590507507324
283,1,44062,0.05191493034362793
284,1,44098,0.03960609436035156
285,1,41290,0.07653212547302246
286,1,45340,0.06651687622070312
287,1,37987,0.04460787773132324
288,1,45250,0.02600884437561035
289,1,38104,0.0845797061920166
290,1,44440,0.041272878646850586
291,1,44305,0.07751989364624023
292,1,44197,0.02835822105407715
293,1,38500,0.08506131172180176
294,1,40309,0.05758094787597656
295,1,40093,0.0581362247467041
296,1,41749,0.03379678726196289
297,1,38113,0.039320945739746094
298,1,43792,0.047444820404052734
299,1,46843,0.056304931640625
300,1,37753,0.022136211395263672
301,1,44620,0.058622121810913086
302,1,45115,0.051718950271606445
303,1,38500,0.06481790542602539
304,1,46204,0.050485849380493164
